,School District Code,School District Tested,District Average Score,District Number Tested
0,601,Appling County,19.0,16.0
1,605,Baldwin County,15.6,41.0
2,606,Banks County,20.1,28.0
3,607,Barrow County,19.3,181.0
4,607,Barrow County,19.3,181.0
5,608,Bartow County,20.2,181.0
6,609,Ben Hill County,16.0,13.0
7,610,Berrien County,21.1,10.0
8,611,Bibb County,17.7,168.0
9,612,Bleckley County,19.0,26.0
10,613,Brantley County,20.7,29.0
11,614,Brooks County,16.8,29.0
12,615,Bryan County,21.9,102.0
13,616,Bulloch County,19.9,108.0
14,617,Burke County,17.7,10.0
15,618,Butts County,18.2,52.0
16,620,Camden County,20.8,108.0
17,621,Candler County,17.9,11.0
18,622,Carroll County,19.9,179.0
19,623,Catoosa County,19.9,267.0
20,625,Savannah-Chatham County,19.4,261.0
21,627,Chattooga County,19.1,43.0
22,628,Cherokee County,22.3,970.0
23,629,Clarke County,18.5,257.0
24,631,Clayton County,17.4,760.0
25,633,Cobb County,22.5,2143.0
26,634,Coffee County,19.9,43.0
27,635,Colquitt County,18.6,89.0
28,636,Columbia County,22.7,325.0
29,637,Cook County,17.3,18.0
30,638,Coweta County,21.3,543.0
31,639,Crawford County,17.9,13.0
32,640,Crisp County,18.9,53.0
33,641,Dade County,19.9,61.0
34,642,Dawson County,21.3,65.0
35,643,Decatur County,19.1,57.0
36,644,DeKalb County,20.0,1337.0
37,645,Dodge County,18.6,28.0
38,646,Dooly County,15.9,20.0
39,647,Dougherty County,16.9,80.0
40,648,Douglas County,19.1,650.0
41,649,Early County,16.6,47.0
42,650,Echols County,17.2,14.0
43,651,Effingham County,21.4,139.0
44,652,Elbert County,17.5,18.0
45,653,Emanuel County,19.2,35.0
46,655,Fannin County,21.6,32.0
47,656,Fayette County,22.9,617.0
48,657,Floyd County,19.8,201.0
49,658,Forsyth County,24.6,1074.0
50,659,Franklin County,18.6,39.0
51,660,Fulton County,23.5,2071.0
52,661,Gilmer County,19.7,23.0
53,663,Glynn County,20.8,249.0
54,664,Gordon County,19.4,72.0
55,665,Grady County,18.0,45.0
56,666,Greene County,17.5,28.0
57,667,Gwinnett County,22.5,2785.0
58,668,Habersham County,25.8,20.0
59,669,Hall County,21.1,252.0
60,670,Hancock County,15.6,10.0
61,671,Haralson County,20.3,28.0
62,672,Harris County,20.7,110.0
63,673,Hart County,18.8,25.0
64,674,Heard County,18.5,38.0
65,675,Henry County,19.3,1010.0
66,676,Houston County,20.5,346.0
67,677,Irwin County,17.6,31.0
68,678,Jackson County,20.6,103.0
69,679,Jasper County,18.2,32.0
70,680,Jeff Davis County,17.8,17.0
71,682,Jenkins County,17.9,14.0
72,683,Johnson County,17.2,10.0
73,684,Jones County,18.9,63.0
74,685,Lamar County,18.4,20.0
75,687,Laurens County,20.0,61.0
76,688,Lee County,19.7,106.0
77,689,Liberty County,18.3,168.0
78,690,Lincoln County,18.5,16.0
79,691,Long County,18.1,16.0
80,692,Lowndes County,21.3,148.0
81,693,Lumpkin County,20.2,53.0
82,694,Macon County,16.5,18.0
83,695,Madison County,20.3,29.0
84,696,Marion County,18.0,11.0
85,697,McDuffie County,17.9,43.0
86,699,Meriwether County,17.4,56.0
87,701,Mitchell County,17.0,11.0
88,702,Monroe County,19.9,67.0
89,704,Morgan County,20.2,74.0
90,705,Murray County,19.0,65.0
91,706,Muscogee County,19.2,603.0
92,707,Newton County,17.7,422.0
93,708,Oconee County,23.5,187.0
94,709,Oglethorpe County,20.0,32.0
95,710,Paulding County,19.8,420.0
96,711,Peach County,17.4,72.0
97,712,Pickens County,22.9,39.0
98,713,Pierce County,20.3,53.0
99,714,Pike County,19.5,24.0
100,715,Polk County,19.6,63.0
101,717,Putnam County,18.5,77.0
102,719,Rabun County,20.4,23.0
103,721,Richmond County,17.1,316.0
104,722,Rockdale County,19.3,343.0
105,723,Schley County,20.1,16.0
106,724,Screven County,20.8,12.0
107,726,Griffin-Spalding County,18.0,127.0
108,727,Stephens County,20.2,36.0
109,729,Sumter County,16.5,46.0
110,732,Tattnall County,20.3,16.0
111,733,Taylor County,19.3,15.0
112,735,Terrell County,16.0,31.0
113,736,Thomas County,19.4,53.0
114,737,Tift County,19.1,74.0
115,738,Toombs County,17.0,16.0
116,739,Towns County,21.4,16.0
117,741,Troup County,19.7,191.0
118,742,Turner County,15.3,13.0
119,744,Union County,21.6,33.0
120,745,Thomaston-Upson County,17.2,51.0
121,746,Walker County,19.3,174.0
