,School District Code,SCHOOL_NAME,Description,REV_EXP_VALUE,Dollars per FTE
0,601,All Column Values,Debt Services,0.0,0.0
1,601,All Column Values,General Administration,839011.19,240.89
2,601,All Column Values,Instruction,21602137.39,6202.16
3,601,All Column Values,Instructional Support,1405654.54,403.58
4,601,All Column Values,Maintenance and Operations,2388308.23,685.7
5,601,All Column Values,Media,545292.2,156.56
6,601,All Column Values,Pupil Services,1056212.78,303.25
7,601,All Column Values,Renovation and Capital Projects,0.0,0.0
8,601,All Column Values,School Administration,1675638.23,481.09
9,601,All Column Values,School food Services,27747.77,7.97
10,601,All Column Values,Transportation,1960696.54,562.93
11,601,All Column Values,Federal,0.0,0.0
12,601,All Column Values,Local,14729306.38,4228.91
13,601,All Column Values,Other,0.0,0.0
14,601,All Column Values,State Lottery,0.0,0.0
15,601,All Column Values,State Other,535016.98,153.61
16,601,All Column Values,State QBE,18812582.0,5401.26
17,601,Altamaha Elementary School,Debt Services,0.0,0.0
18,601,Altamaha Elementary School,General Administration,0.0,0.0
19,601,Altamaha Elementary School,Instruction,2313712.47,6120.93
20,601,Altamaha Elementary School,Instructional Support,6197.57,16.4
21,601,Altamaha Elementary School,Maintenance and Operations,92106.81,243.67
22,601,Altamaha Elementary School,Media,84263.98,222.92
23,601,Altamaha Elementary School,Pupil Services,62027.92,164.1
24,601,Altamaha Elementary School,Renovation and Capital Projects,0.0,0.0
25,601,Altamaha Elementary School,School Administration,207218.62,548.2
26,601,Altamaha Elementary School,School food Services,0.0,0.0
27,601,Altamaha Elementary School,Transportation,0.0,0.0
28,601,Appling County Elementary School,Debt Services,0.0,0.0
29,601,Appling County Elementary School,General Administration,0.0,0.0
30,601,Appling County Elementary School,Instruction,3644820.53,6054.52
31,601,Appling County Elementary School,Instructional Support,113805.64,189.05
32,601,Appling County Elementary School,Maintenance and Operations,126384.3,209.94
33,601,Appling County Elementary School,Media,96503.92,160.31
34,601,Appling County Elementary School,Pupil Services,69175.43,114.91
35,601,Appling County Elementary School,Renovation and Capital Projects,0.0,0.0
36,601,Appling County Elementary School,School Administration,321050.54,533.31
37,601,Appling County Elementary School,School food Services,0.0,0.0
38,601,Appling County Elementary School,Transportation,0.0,0.0
39,601,Appling County High School,Debt Services,0.0,0.0
40,601,Appling County High School,General Administration,0.0,0.0
41,601,Appling County High School,Instruction,5678595.29,5735.95
42,601,Appling County High School,Instructional Support,233784.33,236.15
43,601,Appling County High School,Maintenance and Operations,430938.02,435.29
44,601,Appling County High School,Media,131350.41,132.68
45,601,Appling County High School,Pupil Services,409597.27,413.73
46,601,Appling County High School,Renovation and Capital Projects,0.0,0.0
47,601,Appling County High School,School Administration,391264.55,395.22
48,601,Appling County High School,School food Services,0.0,0.0
49,601,Appling County High School,Transportation,0.0,0.0
50,601,Appling County Middle School,Debt Services,0.0,0.0
51,601,Appling County Middle School,General Administration,0.0,0.0
52,601,Appling County Middle School,Instruction,4407013.97,5599.76
53,601,Appling County Middle School,Instructional Support,45526.41,57.85
54,601,Appling County Middle School,Maintenance and Operations,144131.27,183.14
55,601,Appling County Middle School,Media,110003.56,139.78
56,601,Appling County Middle School,Pupil Services,176224.62,223.92
57,601,Appling County Middle School,Renovation and Capital Projects,0.0,0.0
58,601,Appling County Middle School,School Administration,296004.68,376.12
59,601,Appling County Middle School,School food Services,0.0,0.0
60,601,Appling County Middle School,Transportation,0.0,0.0
61,601,Appling County Primary School,Debt Services,0.0,0.0
62,601,Appling County Primary School,General Administration,0.0,0.0
63,601,Appling County Primary School,Instruction,4262552.68,8424.02
