,School District Code,LABEL_LVL_1_DESC,PROGRAM_TOTAL,PROGRAM_PERCENT,TOTAL_COUNT
0,601,Grad Rate -ALL Students,220.0,90.16,244.0
1,601,Grad Rate -Black,54.0,96.43,56.0
2,601,Grad Rate -Economically Disadvantaged,220.0,90.53,243.0
3,601,Grad Rate -Female,110.0,90.91,121.0
4,601,Grad Rate -Hispanic,29.0,93.55,31.0
5,601,Grad Rate -Male,110.0,89.43,123.0
6,601,Grad Rate -Migrant,12.0,92.31,13.0
7,601,Grad Rate -Students With Disability,14.0,66.67,21.0
8,601,Grad Rate -Students Without Disability,206.0,92.4,223.0
9,601,Grad Rate -White,131.0,87.33,150.0
10,602,Grad Rate -ALL Students,105.0,89.74,117.0
11,602,Grad Rate -Black,18.0,85.71,21.0
12,602,Grad Rate -Economically Disadvantaged,105.0,89.74,117.0
13,602,Grad Rate -Female,54.0,91.53,59.0
14,602,Grad Rate -Hispanic,40.0,90.91,44.0
15,602,Grad Rate -Male,51.0,87.93,58.0
16,602,Grad Rate -Students With Disability,10.0,71.43,14.0
17,602,Grad Rate -Students Without Disability,95.0,92.2,103.0
18,602,Grad Rate -White,46.0,90.2,51.0
19,603,Grad Rate -ALL Students,143.0,94.08,152.0
20,603,Grad Rate -Black,20.0,86.96,23.0
21,603,Grad Rate -Economically Disadvantaged,73.0,94.81,77.0
22,603,Grad Rate -Female,61.0,93.85,65.0
23,603,Grad Rate -Hispanic,24.0,100.0,24.0
24,603,Grad Rate -Male,82.0,94.25,87.0
25,603,Grad Rate -Not Economically Disadvantaged,70.0,93.3,75.0
26,603,Grad Rate -Students With Disability,14.0,77.78,18.0
27,603,Grad Rate -Students Without Disability,129.0,96.3,134.0
28,603,Grad Rate -White,93.0,93.94,99.0
29,604,Grad Rate -ALL Students,20.0,86.96,23.0
30,604,Grad Rate -Black,14.0,93.33,15.0
31,604,Grad Rate -Economically Disadvantaged,20.0,86.96,23.0
32,604,Grad Rate -Female,12.0,92.31,13.0
33,604,Grad Rate -Students Without Disability,14.0,87.5,16.0
34,605,Grad Rate -ALL Students,273.0,90.7,301.0
35,605,Grad Rate -Black,215.0,92.67,232.0
36,605,Grad Rate -Economically Disadvantaged,273.0,90.7,301.0
37,605,Grad Rate -Female,143.0,94.08,152.0
38,605,Grad Rate -Male,130.0,87.25,149.0
39,605,Grad Rate -Students With Disability,28.0,87.5,32.0
40,605,Grad Rate -Students Without Disability,245.0,91.1,269.0
41,605,Grad Rate -White,44.0,80.0,55.0
42,606,Grad Rate -ALL Students,168.0,85.28,197.0
43,606,Grad Rate -Economically Disadvantaged,68.0,75.56,90.0
44,606,Grad Rate -Female,80.0,86.96,92.0
45,606,Grad Rate -Hispanic,11.0,78.57,14.0
46,606,Grad Rate -Male,88.0,83.81,105.0
47,606,Grad Rate -Not Economically Disadvantaged,100.0,93.5,107.0
48,606,Grad Rate -Students With Disability,20.0,74.07,27.0
49,606,Grad Rate -Students Without Disability,148.0,87.1,170.0
50,606,Grad Rate -White,149.0,85.14,175.0
51,607,Grad Rate -ALL Students,801.0,87.64,914.0
52,607,Grad Rate -Asian/Pacific Islander,47.0,92.16,51.0
